,Stock,Close,12EMA,26EMA,MACDHist,SignalMACD,CloseSlope,ShortEMASlope,LongEMASlope,MACDHistSlope,SignalMACDSlope
129,NOCIL.NS,206.8000030517578,206.17261511753185,200.51670126112208,5.655913856409768,-7.149882039553074,4.4499969482421875,0.11407053349563512,0.5026641432508541,11.700421322574755,0.3734920457858264
130,TATACOFFEE.NS,174.85000610351562,173.58407142272313,162.3010648418879,11.283006580835234,-12.378029807177253,0.600006103515625,0.2301699419622878,1.003915300930231,23.339758520638412,0.27375580658550547
131,JSWENERGY.NS,131.0,119.712230655079,114.63612463402282,5.076106021056177,-4.787735197529669,5.0,2.0523216990765434,1.3091100292781874,9.409000372313997,-0.07209270588162653
132,TRITURBINE.NS,112.25,102.94798229348913,101.52590789095015,1.422074402538982,-0.09053825970136753,4.75,1.691275946638342,0.8579273687239777,2.0108002271635996,-0.3328840357094036
133,CERA.NS,3981.050048828125,3969.3416855478977,3940.758681305009,28.58300424288882,-27.97075654020003,18.400146484375,2.1287933236776553,3.223309401849292,58.260524563949275,-0.15306192567219767
134,JSWSTEEL.NS,702.7000122070312,698.247274778455,683.3637243788968,14.883550399558203,-22.410503488705206,8.20001220703125,0.8095886233775218,1.5469030262507886,30.504415201989673,1.88173827228675
135,MUTHOOTFIN.NS,1305.0999755859375,1269.9031436363564,1240.3592649684263,29.54387866793013,-22.67058540550803,-3.800048828125,6.399423990832929,5.179256849400872,57.8675901944282,-1.7183233156055273
136,ITC.NS,209.5500030517578,211.17790350652993,209.6297767299722,1.548126776557723,-0.9943519817242779,-5.6999969482421875,-0.2959819008676732,-0.006381894257174281,3.3858535597259447,-0.13844369870836148
137,SONATSOFTW.NS,672.0999755859375,638.6145162654112,610.6064978848261,28.0080183805851,-21.286827578735213,11.699951171875,6.088265331004777,4.919478216088919,54.84724964625434,-1.6802977004624715
138,IOC.NS,110.44999694824219,107.78610161075865,103.29776584496727,4.488335765791376,-4.270391469087354,0.5499954223632812,0.4843446068151849,0.5721784882619971,9.064505413029565,-0.05448607417600648
139,INDIGO.NS,1753.5,1726.763841709392,1696.3601160910075,30.403725618384442,-25.247354967596326,7.800048828125,4.8611196892013595,4.571190712719499,60.51752226028702,-1.2890926626970298
140,MAHINDCIE.NS,197.75,191.396971116087,184.0943526881947,7.302618427892298,-6.246003973508626,1.600006103515625,1.1550961607114516,1.0924517849444157,14.54259248001756,-0.26415361359591927
141,POLYPLEX.NS,1109.550048828125,1123.498888770733,1081.327021713692,42.17186705704103,-55.94289321272703,1.85009765625,-2.5361527168379325,2.257842169154628,89.13772900007461,3.4427565389215005
142,PNB.NS,44.349998474121094,40.59196479525215,38.87620796981359,1.715756825438561,-1.0718077416790213,2.6999969482421875,0.6832788507034451,0.43790324034460326,3.18613804051828,-0.16098727093988507
143,SAIL.BO,121.80000305175781,123.50050566026539,119.86760624894261,3.632899411322782,-5.961575639402721,0.600006103515625,-0.30918229245592954,0.1545917442252147,7.729572859326709,0.5821690570199838
144,MINDACORP.NS,128.75,117.0964829877135,111.3313061555337,5.7651768321798045,-4.109398203450101,3.0500030517578125,2.118821274961178,1.3934955075573043,10.805027896955735,-0.4139446571824257
145,TITAN.NS,1569.0999755859375,1556.8457036332995,1529.5527263840181,27.29297724928142,-18.862202620085572,-22.300048828125,2.2280494459341753,3.1637799361533325,55.521684988782,-2.107693657298963
